"Plot Title: 11"
"#","Date Time, GMT+02:00","Temp, °C (LGR S/N: 20254718, SEN S/N: 20254718)","Intensity, Lux (LGR S/N: 20254718, SEN S/N: 20254718)","Coupler Attached (LGR S/N: 20254718)","Host Connected (LGR S/N: 20254718)","Stopped (LGR S/N: 20254718)","End Of File (LGR S/N: 20254718)"
383,05/29/18 01:40:00 AM,28.159,0.0,,,,
384,05/29/18 01:50:00 AM,28.159,0.0,,,,
385,05/29/18 02:00:00 AM,28.159,0.0,,,,
386,05/29/18 02:10:00 AM,28.060,0.0,,,,
387,05/29/18 02:20:00 AM,28.060,0.0,,,,
388,05/29/18 02:30:00 AM,28.060,0.0,,,,
389,05/29/18 02:40:00 AM,27.961,0.0,,,,
390,05/29/18 02:50:00 AM,27.961,0.0,,,,
391,05/29/18 03:00:00 AM,27.862,0.0,,,,
392,05/29/18 03:10:00 AM,27.862,0.0,,,,
393,05/29/18 03:20:00 AM,27.862,0.0,,,,
394,05/29/18 03:30:00 AM,27.764,0.0,,,,
395,05/29/18 03:40:00 AM,27.764,0.0,,,,
396,05/29/18 03:50:00 AM,27.665,0.0,,,,
397,05/29/18 04:00:00 AM,27.665,0.0,,,,
398,05/29/18 04:10:00 AM,27.567,0.0,,,,
399,05/29/18 04:20:00 AM,27.468,0.0,,,,
400,05/29/18 04:30:00 AM,27.468,0.0,,,,
401,05/29/18 04:40:00 AM,27.370,0.0,,,,
402,05/29/18 04:50:00 AM,27.370,0.0,,,,
403,05/29/18 05:00:00 AM,27.272,0.0,,,,
404,05/29/18 05:10:00 AM,27.272,0.0,,,,
405,05/29/18 05:20:00 AM,27.173,0.0,,,,
406,05/29/18 05:30:00 AM,27.173,0.0,,,,
407,05/29/18 05:40:00 AM,27.075,0.0,,,,
408,05/29/18 05:50:00 AM,27.075,0.0,,,,
409,05/29/18 06:00:00 AM,26.977,0.0,,,,
410,05/29/18 06:10:00 AM,26.879,0.0,,,,
411,05/29/18 06:20:00 AM,26.879,0.0,,,,
412,05/29/18 06:30:00 AM,26.781,0.0,,,,
413,05/29/18 06:40:00 AM,26.781,0.0,,,,
414,05/29/18 06:50:00 AM,26.781,0.0,,,,
415,05/29/18 07:00:00 AM,26.683,0.0,,,,
416,05/29/18 07:10:00 AM,26.683,0.0,,,,
417,05/29/18 07:20:00 AM,26.683,0.0,,,,
418,05/29/18 07:30:00 AM,26.585,0.0,,,,
419,05/29/18 07:40:00 AM,26.585,0.0,,,,
420,05/29/18 07:50:00 AM,26.585,0.0,,,,
421,05/29/18 08:00:00 AM,26.585,0.0,,,,
422,05/29/18 08:10:00 AM,26.585,0.0,,,,
423,05/29/18 08:20:00 AM,26.488,0.0,,,,
424,05/29/18 08:30:00 AM,26.488,0.0,,,,
425,05/29/18 08:40:00 AM,26.488,0.0,,,,
426,05/29/18 08:50:00 AM,26.488,0.0,,,,
427,05/29/18 09:00:00 AM,26.488,0.0,,,,
428,05/29/18 09:10:00 AM,26.488,0.0,,,,
429,05/29/18 09:20:00 AM,26.488,0.0,,,,
430,05/29/18 09:30:00 AM,26.585,0.0,,,,
431,05/29/18 09:40:00 AM,26.781,0.0,,,,
432,05/29/18 09:50:00 AM,26.977,0.0,,,,
433,05/29/18 10:00:00 AM,27.272,0.0,,,,
434,05/29/18 10:10:00 AM,27.468,0.0,,,,
435,05/29/18 10:20:00 AM,27.665,0.0,,,,
436,05/29/18 10:30:00 AM,27.862,0.0,,,,
437,05/29/18 10:40:00 AM,28.159,0.0,,,,
438,05/29/18 10:50:00 AM,28.357,0.0,,,,
439,05/29/18 11:00:00 AM,28.655,0.0,,,,
440,05/29/18 11:10:00 AM,28.953,0.0,,,,
441,05/29/18 11:20:00 AM,29.152,0.0,,,,
442,05/29/18 11:30:00 AM,29.352,0.0,,,,
443,05/29/18 11:40:00 AM,29.552,0.0,,,,
444,05/29/18 11:50:00 AM,29.652,0.0,,,,
445,05/29/18 12:00:00 PM,29.752,0.0,,,,
446,05/29/18 12:10:00 PM,29.853,0.0,,,,
447,05/29/18 12:20:00 PM,29.953,0.0,,,,
448,05/29/18 12:30:00 PM,30.154,0.0,,,,
449,05/29/18 12:40:00 PM,30.255,0.0,,,,
