logger_num,date_time,temp_C,rh_%,dewpt_C
1,5/26/18 23:36,24.026,100,23.765
1,5/26/18 23:39,24.026,100,23.765
1,5/26/18 23:42,24.05,100,23.794
1,5/26/18 23:45,24.05,100,23.791
1,5/26/18 23:48,24.05,100,23.798
1,5/26/18 23:51,24.05,100,23.794
1,5/26/18 23:54,24.026,100,23.769
1,5/26/18 23:57,24.026,100,23.765
1,5/27/18 0:00,24.002,100,23.744
1,5/27/18 0:03,24.002,100,23.748
1,5/27/18 0:06,24.002,100,23.744
1,5/27/18 0:09,24.002,100,23.744
1,5/27/18 0:12,23.978,100,23.723
1,5/27/18 0:15,23.954,100,23.697
1,5/27/18 0:18,23.954,100,23.694
1,5/27/18 0:21,23.93,100,23.665
1,5/27/18 0:24,23.93,100,23.665
1,5/27/18 0:27,23.905,100,23.647
1,5/27/18 0:30,23.881,100,23.614
1,5/27/18 0:33,23.857,100,23.589
1,5/27/18 0:36,23.857,100,23.589
1,5/27/18 0:39,23.833,100,23.564
1,5/27/18 0:42,23.809,100,23.535
1,5/27/18 0:45,23.809,100,23.539
1,5/27/18 0:48,23.785,100,23.506
1,5/27/18 0:51,23.785,100,23.506
1,5/27/18 0:54,23.761,100,23.481
1,5/27/18 0:57,23.737,100,23.452
1,5/27/18 1:00,23.713,100,23.431
1,5/27/18 1:03,23.713,100,23.427
1,5/27/18 1:06,23.713,100,23.431
1,5/27/18 1:09,23.713,100,23.431
1,5/27/18 1:12,23.713,100,23.431
1,5/27/18 1:15,23.689,100,23.406
1,5/27/18 1:18,23.689,100,23.406
1,5/27/18 1:21,23.689,100,23.406
1,5/27/18 1:24,23.689,100,23.406
1,5/27/18 1:27,23.665,100,23.38
1,5/27/18 1:30,23.665,100,23.377
1,5/27/18 1:33,23.665,100,23.377
1,5/27/18 1:36,23.641,100,23.348
1,5/27/18 1:39,23.641,100,23.348
1,5/27/18 1:42,23.641,100,23.348
1,5/27/18 1:45,23.617,100,23.323
1,5/27/18 1:48,23.617,100,23.323
1,5/27/18 1:51,23.617,100,23.323
1,5/27/18 1:54,23.617,100,23.323
1,5/27/18 1:57,23.593,100,23.298
1,5/27/18 2:00,23.593,100,23.294
1,5/27/18 2:03,23.569,100,23.269
1,5/27/18 2:06,23.569,100,23.265
1,5/27/18 2:09,23.545,100,23.24
1,5/27/18 2:12,23.545,100,23.24
1,5/27/18 2:15,23.521,100,23.215
1,5/27/18 2:18,23.521,100,23.207
1,5/27/18 2:21,23.521,100,23.207
1,5/27/18 2:24,23.497,100,23.182
1,5/27/18 2:27,23.497,100,23.182
1,5/27/18 2:30,23.472,100,23.157
1,5/27/18 2:33,23.472,100,23.153
1,5/27/18 2:36,23.472,100,23.15
1,5/27/18 2:39,23.448,100,23.124
1,5/27/18 2:42,23.448,100,23.124
1,5/27/18 2:45,23.424,100,23.096
1,5/27/18 2:48,23.424,100,23.096
1,5/27/18 2:51,23.424,100,23.092
1,5/27/18 2:54,23.4,100,23.059
1,5/27/18 2:57,23.4,100,23.059
1,5/27/18 3:00,23.376,100,23.03
1,5/27/18 3:03,23.376,100,23.027
1,5/27/18 3:06,23.352,100,22.994
1,5/27/18 3:09,23.352,100,22.994
1,5/27/18 3:12,23.328,100,22.969
1,5/27/18 3:15,23.328,100,22.969
1,5/27/18 3:18,23.328,100,22.969
1,5/27/18 3:21,23.328,100,22.969
1,5/27/18 3:24,23.304,99.996,22.944
1,5/27/18 3:27,23.304,99.996,22.944
1,5/27/18 3:30,23.304,99.996,22.944
1,5/27/18 3:33,23.304,99.996,22.944
1,5/27/18 3:36,23.28,99.99,22.919
1,5/27/18 3:39,23.28,99.99,22.919
1,5/27/18 3:42,23.28,99.99,22.919
1,5/27/18 3:45,23.28,99.938,22.911
1,5/27/18 3:48,23.28,99.938,22.911
1,5/27/18 3:51,23.28,99.938,22.911
1,5/27/18 3:54,23.28,99.964,22.915
1,5/27/18 3:57,23.28,99.964,22.915
1,5/27/18 4:00,23.28,99.938,22.911
1,5/27/18 4:03,23.256,99.931,22.886
1,5/27/18 4:06,23.256,99.905,22.882
1,5/27/18 4:09,23.256,99.879,22.879
1,5/27/18 4:12,23.256,99.879,22.879
